VendorID,ItemNumber,ItemRevision,RequiredQuantity,DueDate,ItemSupplyKey,VendorKey,ItemKey
10046,"23032-1850",K ,250,2018-03-08 00:00:00,288422462,117,2938
10046,"23032-1850",K ,250,2018-05-21 00:00:00,288422465,117,2938
10046,"23032-1850",K ,250,2018-08-13 00:00:00,288422471,117,2938
10046,"23032-1850",K ,250,2018-10-11 00:00:00,288422477,117,2938
10046,"23032-1852",K ,500,2017-08-03 00:00:00,288422451,117,2940
10046,"23032-1852",K ,500,2018-03-08 00:00:00,288422454,117,2940
10046,"23046-1320",M ,500,2017-11-09 00:00:00,288422459,117,3053
10046,"23046-1320",M ,500,2018-10-04 00:00:00,288422463,117,3053
10046,"23046-1321",M ,100,2017-11-03 00:00:00,288424583,117,3054
10046,"23046-1321",M ,100,2017-12-14 00:00:00,288424585,117,3054
10046,"23046-1321",M ,100,2018-02-22 00:00:00,288424586,117,3054
10046,"23046-1321",M ,100,2018-05-18 00:00:00,288424587,117,3054
10046,"23046-1321",M ,100,2018-08-01 00:00:00,288424588,117,3054
10046,"23046-1321",M ,100,2018-11-01 00:00:00,288424589,117,3054
10046,"23046-1322",M ,500,2017-11-03 00:00:00,288424581,117,3055
10046,"23046-1322",M ,500,2018-11-01 00:00:00,288424584,117,3055
10046,"23046-1324",M ,100,2017-10-26 00:00:00,287512159,117,3057
10046,"23046-1324",M ,100,2017-12-21 00:00:00,287512165,117,3057
10046,"23046-1324",M ,100,2018-02-22 00:00:00,287512172,117,3057
10046,"23046-1324",M ,100,2018-06-07 00:00:00,287512173,117,3057
10046,"23046-1324",M ,100,2018-07-12 00:00:00,287512174,117,3057
10046,"23046-1324",M ,100,2018-08-30 00:00:00,287512176,117,3057
10046,"23080-3022",D ,200,2017-08-11 00:00:00,288416315,117,3757
10046,"23080-3022",D ,200,2017-12-28 00:00:00,288416362,117,3757
10046,"30086-1350",E ,40,2018-02-21 00:00:00,286656945,117,4701
